Job Title,Company Name,Location,Experience Level,Years of Experience,Skills & Tools,Min_Exp,Max_Exp
Security Engineer,Misr International Syste...,"Sheikh Zayed, Giza",Experienced (Non-Manager),3 to 5 years,data encryption | Thales | Cybersecurity | Data Security | Computer Science | Engineering | Information Technology (IT) | Security,3,5
Jira Administrator,TECHNOSAT,"Cairo, Egypt",Experienced (Non-Manager),3 to 7 years,JIRA | Information Technology (IT) | Jira Service Management (JSM) | Confluence | Jira Data Center | ScriptRunner | JMWE | EazyBI | ACP-120 | Maintenance | Linux | Computer Science | ACP-420 | ACP-620 | ITIL,3,7
Mid-level Android Developer,Expert Apps,"Maadi, Cairo",Experienced (Non-Manager),3 years,Android | back-end | APIs | computer | Computer Science | Information Technology (IT) | Offline storage | RESTful | RESTful APIs | Software Development | Software Engineering | Threading | English | Communication | Troubleshooting | Mobile Development | Software | Java | XML,3,3
Senior Backend Developer (Manufacturing),K Line Europe,"Nasr City, Cairo",Experienced (Non-Manager),4 to 8 years,API | backend | Computer Science | Design | JavaScript | REST | NoSQL | Git | AWS | Development | Software Development | Software Engineering | Back-End Development | Node.js | Multi-Service Access Node | .Net Framework | .Net Development | nest | Express.js | AWS Cloud | Azure DevOps Server | Azure,4,8
Business Analyst,"Confidential Company - Dokki, Giza","Dokki, Giza",Experienced (Non-Manager),2 to 5 years,Analysis | Business Analysis | Computer Science | Data Modeling | SQL | Requirements Gathering | Process Improvement | Stakeholder Management | Project Management | Analytical Thinking | Information Technology (IT) | Research | Software Development,2,5
Software Support Engineer,Millensys,"New Cairo, Cairo",Experienced (Non-Manager),3 to 5 years,Computer Science | Software Development | Software Engineering,3,5
System Administrator,Sega_m,"10th of Ramadan City, Sharqia",Entry Level (Junior Level / Fresh Grad),0 to 2 years,Computer Science | Engineering | Information Technology (IT) | System Administration,0,2
Senior Machine Learning Engineer,TechJump,"Alexandria, Egypt",Experienced (Non-Manager),3 to 7 years,Computer Science | Information Technology (IT) | Machine Learning | Engineering | Python | Data Science | Deep Learning | Natural Language Processing (NLP) | Model Deployment | Software Development | Algorithm Design | Cloud Platforms (AWS/Azure/GCP) | Statistical Analysis | Problem-solving | Communication | NLP | Programming | Software Engineering,3,7
"Sales Supervisor - ""Medical Background""",Nawah-Scientific,"Mokattam, Cairo",Experienced (Non-Manager),3 to 7 years,Sales | Customer Service | Medical | Sales Target | Indoor Sales | Outdoor Sales | Sales Plan | Business Development,3,7
Sustainability Section Head,Kandil Glass,"10th of Ramadan City, Cairo",Experienced (Non-Manager),5 to 7 years,Engineering | Mechanical Engineering,5,7
"Health, Safety & Environmental Section Head",Sadko Plast,"10th of Ramadan City, Sharqia","Senior Management (CEO, GM, Director, Head)",5 to 7 years,Safety | HSE | Environmental | Engineering | Manufacturing | Microsoft Office | NEBOSH,5,7
R&D Engineer,EGIC,"6th of October, Giza",Entry Level (Junior Level / Fresh Grad),1 to 3 years,R&D | Chemistry | Material Science | Mechanical Engineering | Science | CAD | Project Management | Business Analysis | Architecture | AutoCAD | Design | Engineering | Management | Mechanical | Project | Research,1,3
AI Engineer,MEAHCO - Saudi German He...,"Katameya, Cairo",Experienced (Non-Manager),1 to 4 years,AI | Computer Science | Information Technology (IT) | ●	Programming & Software Engineering | ●	Deep Learning Frameworks,1,4
Quality Assurance Specialist,Eagle Chemicals,"6th of October, Giza",Entry Level (Junior Level / Fresh Grad),0 to 2 years,QA | Quality Assurance | Administration | Chemistry | Communication | Engineering | Quality Control | SQL,0,2
PHP Full Stack Developer,Mora Communications Comp...,"New Cairo, Cairo",Experienced (Non-Manager),5 to 10 years,PHP | Node.js | Mongo DB | Bootstrap | Computer Science | Software Development | HTML | CSS | Information Technology (IT) | JavaScript | jQuery | Laravel | MySQL | Laravel PHP,5,10
Oracle Developer,El Mohandess Print House,"10th of Ramadan City, Sharqia",Entry Level (Junior Level / Fresh Grad),0 to 2 years,Oracle PL/SQL | Database Design | Data Modeling | Problem Solving | Oracle Reports | Oracle Forms,0,2
Value-Based Healthcare Analytics Specialist,MEAHCO - Saudi German He...,"Katameya, Cairo",Experienced (Non-Manager),1 to 4 years,SQL | Python | Tableau | R | Power BI | HL7 | FHIR,1,4
Quality Control Engineer,Decotam,"6th of October, Giza",Experienced (Non-Manager),3 to 7 years,Engineering | Quality Control | control | Quality Assurance,3,7
Business Analytics Head,"Confidential Company - Shorouk City, Cairo","Shorouk City, Cairo",Manager,8 to 12 years,Analytics | Business Analytics | Business Intelligence | Data Management | Business Development | Business Administration | Computer Science | Management | Marketing | Real Estate | SQL,8,12
EHS Specialist,"Confidential Company - Alsadat City, Monufya","Alsadat City, Monufya",Experienced (Non-Manager),3 to 6 years,"HSE Management | Health, Safety and Environment | EHS Management | Power BI | ISO 45001 | ISO 14001 | OSHA | Manufacturing | Engineering | Microsoft Office | Quality Control | Safety",3,6
Middle Business Data Analyst - BI Engineer,Vertex Technologies,"Cairo, Egypt",Experienced (Non-Manager),More than 3 years,Business Data Analysis | Business Intelligence (BI) | English B2 | Power BI | Databases | DWH | SQL | ETL Processes | Data Mining | SDLC | Problem Solving,3,3
Backend Developer,Thaka International,"Cairo, Egypt",Experienced (Non-Manager),3 to 6 years,Information Technology (IT) | Computer Science | PHP | Laravel | Vue.js | JavaScript | MySQL | HTML | Engineering | CSS | Git | Software Development | Software Engineering,3,6
Senior Laravel Developer,34ML,"Heliopolis, Cairo",Experienced (Non-Manager),3 to 5 years,Computer Science | Software Development | Information Technology (IT) | Software Engineering | MVC | Engineering | Git | PHP | HTML5 | Troubleshooting | Front-End | OOP | SW Development | DevOps | Database | Laravel,3,5
Instrumentation / Automation Service Engineer,Soulintec,"Alexandria, Egypt",Experienced (Non-Manager),3 to 5 years,PLC | Siemens | SCADA | Software | Computer Skills | Engineering | Information Technology (IT) | instrumentation | Automation | Computer Science | Microsoft Office | English,3,5
Senior Network Administrator,"Confidential Company - Heliopolis, Cairo","Heliopolis, Cairo",Experienced (Non-Manager),5 to 8 years,Computer Science | Engineering | Information Technology (IT) | Networking | Network Administration | CCNA Security | Project Management,5,8
Oracle Developer,National Technology,"Nasr City, Cairo",Experienced (Non-Manager),1 to 4 years,Computer Science | Information Technology (IT) | Oracle | Software Development | BI | Configuration | Database | Development | Engineering | Oracle Database | SQL | ETL,1,4
Data Analyst,National technology grou...,"6th of October, Giza",Experienced (Non-Manager),2 to 5 years,Analysis | SQL | Power BI | Microsoft Excel | Python,2,5
Business Intelligence Analyst,Arma-HSA,"New Cairo, Cairo",Entry Level (Junior Level / Fresh Grad),1 to 3 years,Analysis | Business Analysis | Business Intelligence | Administration | BI | Business Administration | Computer Science | Information Technology (IT) | Power BI,1,3
Product Engineer,Alarabia Group,"10th of Ramadan City, Sharqia",Entry Level (Junior Level / Fresh Grad),1 to 3 years,Engineering | Product | Computer Science | Information Technology (IT) | Mechatronics | Mechanical | Production | Sales,1,3
"Senior Full Stack PHP Laravel Developer (Accounting & Financial Systems) (Full-Time, Remote)",iBrokerage Ltd.,"Cairo, Egypt",Experienced (Non-Manager),5 to 8 years,Information Technology (IT) | Laravel | Software Development | PHP | Computer Science | JavaScript | jQuery | MySQL | Finance System Developer,5,8
ERP Consultant (Microsoft Dynamics AX 2012 / D365),Allamna Integrated Solut...,"Cairo, Egypt",Entry Level (Junior Level / Fresh Grad),1 to 3 years,Dynamics AX | ERP | Microsoft Dynamics,1,3
IT Infrastructure Manager,"Confidential Company - Alexandria, Egypt","Alexandria, Egypt",Manager,12 to 20 years,Computer Science | Engineering | Information Technology (IT) | Project Management,12,20
Infrastructure Administrator,Nile Integration,"Abu Rawash, Giza",Experienced (Non-Manager),3 to 7 years,Hardware Troubleshooting | vmware esxi | Microsoft Office 365 | Microsoft Active Directory | Fortinet Firewall | Veritas | Veeam | Leased line | Computer Engineering | Computer Science | DNS | DHCP | Information Technology (IT) | Maintenance | Networking | Security | Troubleshooting | Vmware,3,7
Digital Solutions Sales Lead,Advanced Engineering Con...,"Giza, Egypt",Experienced (Non-Manager),3 to 7 years,Sales | Lead Generation | Business Development,3,7
Data Entry Clerk,Upsell,"Cairo, Egypt",Entry Level (Junior Level / Fresh Grad),1 to 2 years,Data Entry | Customer Service | Microsoft Office | Administration | Computer Science | Content Management | Customer Support | Management,1,2
Senior Network & System Administrator,Al Watania Poultry,"Smart Village, Giza",Experienced (Non-Manager),5 to 7 years,CCNA | CCNP | Computer Science | firewalls | Information Technology (IT) | Office 365 | MCSE | Installation | Engineering | ESXi | KVM | Sophos | Network Engineering | Network & System Engineer | Infrastructure Administrator,5,7
Quality Control Engineer,Electronic & Electrical ...,"Cairo, Egypt",Experienced (Non-Manager),2 to 5 years,Engineering | Quality Control | Electronics | Six Sigma | Communication | Mechanical | Biomedical | Mechatronics | Production | Quality Assurance,2,5
Sales Account Manager,Target Integrated System...,"Maadi, Cairo",Experienced (Non-Manager),2 to 6 years,CRM | account manager | Sales | Sales Target | sales skills | Software | business | Communication | Communication skills | Computer Science | Customer Service | English | Management | Marketing,2,6
System Administrator,Premium Card,"Dokki, Giza",Entry Level (Junior Level / Fresh Grad),1 to 3 years,Information Technology (IT) | System Administration | System administrator,1,3
Software Developer,RISEUP (Endemag for Admi...,"Maadi, Cairo",Experienced (Non-Manager),1 to 3 years,Computer Science | Information Technology (IT) | Software Development | Software Engineering | JavaScript | SQL | React | Java | Git | Engineering | Design | CI/CD | C# | Python | CSS Javascript | Typescript | .Net | AWS | IaaS | PaaS | EC2 | Lamda | Amazon S3 | API Gateway | Amazon Redshift | AI/ML,1,3
Senior Mechanical Engineer,EPP,"Port Said, Egypt",Experienced (Non-Manager),5 to 10 years,Mechanical Engineering | rotating equipment | Maintenance | Manufacturing | Mechanical | Communication | API | Computer Science | Engineering | Information Technology (IT) | Management,5,10
Routing Supervisor- (Sales Planning),Arma-HSA,"New Cairo, Cairo",Experienced (Non-Manager),3 to 7 years,Business Analysis | Business Analytics | Business Planning | Sales Planning,3,7
AI-Native Software Engineer (Full-Stack),Vertex Technologies,"Cairo, Egypt",Experienced (Non-Manager),More than 3 years,Backend Development | Git | SQL | Web Development | Unit Testing | Cloud Technologies | Microservices | Node.js | AI-assisted development | Agentic engineering | Claude Code | GitHub Copilot | Cursor,3,3
Sales Engineer – Industrial Solutions (Cairo),Trust Engineering Compan...,"Alexandria, Egypt",Experienced (Non-Manager),2 to 5 years,Sales | Technical Sales | Sales engineer | Customer Support | Engineering Services | Sales skills | Maintenance Engineering | Industria maintenance products | Outdoor Sales | Field Sales | Engineering | English | petrochemical | Sales Target | Science | Software | Sales Engineer Technical Sales Industrial Sales Mechanical Engineer Electrical Engineer Mechatronics Engineer Maintenance Engineer Industrial Solutions Lubricants Welding MRO Business Development Field Sales Engineering Sales Technical Support Industrial | Customer Service | Mechanical | B2B Sales Industrial Products,2,5
Back Office Application Support Engineer,"Confidential Company - Shorouk City, Cairo","Shorouk City, Cairo",Entry Level (Junior Level / Fresh Grad),1 to 3 years,Application Support | Computer Science | Information Technology (IT) | Information Systems | Microsoft Office | Communication | Customer Support,1,3
Senior Backend Engineer (Node.js / NestJS / TypeScript),tech technology,"Cairo, Egypt",Experienced (Non-Manager),More than 3 years,Node.js | Software Development | Software Engineering | Typescript | Nest | Architecture | AWS | Computer Science | Design | Engineering | Information Technology (IT),3,3
R&D Engineer,Alex form,"Alexandria, Egypt",Entry Level (Junior Level / Fresh Grad),2 to 5 years,R&D | Engineering | Design,2,5
SAP Enterprise Asset Management (EAM) Consultant,Intrasoft ME,"Cairo, Egypt",Experienced (Non-Manager),5 to 7 years,SAP | EAM | Accounts Payable | Computer Science | Information Technology (IT) | SAP PA,5,7
Senior System Admin,Orion,"Madinaty, Cairo",Experienced (Non-Manager),3 to 5 years,Computer Science | Engineering | Information Technology (IT) | System Administration | System Admin | Computer Engineering,3,5
Senior Business Analyst,Egabi FSI,"Sheraton, Cairo",Experienced (Non-Manager),More than 4 years,Business Analyst | Computer Science | Business Analysis | Information Technology (IT) | English | Testing | Analysis | business | analytical | Communication skills | product owner,4,4
ETL & BI Developer (Alteryx & Tableau),ISFP,"Smouha, Alexandria",Experienced (Non-Manager),3 to 7 years,BI | ETL | Tableau,3,7
Quality Control Chemist,National Paints,"Obour City, Cairo",Entry Level (Junior Level / Fresh Grad),1 to 3 years,Quality Assurance | Quality Control,1,3
Data Analyst,EGMED,"Cairo, Egypt",Experienced (Non-Manager),3 to 6 years,Analysis | Computer Science | Data Analysis | Information Technology (IT),3,6
IT Specialist,ElSaba Group Co.,"Katameya, Cairo",Experienced (Non-Manager),2 to 3 years,Computer Science | Information Systems | Information Technology (IT) | Technical Support,2,3
Microbiology Analyst,National Company For Mai...,"10th of Ramadan City, Sharqia",Entry Level (Junior Level / Fresh Grad),0 to 2 years,Microbiological Testing | Instrumental Background | Microbiology | Biochemistry | Chemistry | ESLP | Pharmacy | Science | Pharmaceutical,0,2
Full Stack Developer,GOLD ERA,"Cairo, Egypt",Experienced (Non-Manager),2 to 5 years,Computer Science | Information Technology (IT) | Software Development | JavaScript | HTML | CSS | Typescript | Next.js | •	Tailwind CSS | Node.js | Express.js | Prisma ORM,2,5
Data Analyst & Office Manager,"Confidential Company - Mohandessin, Giza","Mohandessin, Giza",Experienced (Non-Manager),8 to 10 years,Administration | Data Analysis | Data Entry | Microsoft Office | Management | Microsoft Excel | Analysis | Business Administration | Business Analysis | Computer Science | Finance | Office management,8,10
Technical Support Specialist,Orion,"Madinaty, Cairo",Experienced (Non-Manager),2 to 5 years,Technical Support | computer hardware | software applications,2,5
Network Trainer,MICA,"Haram, Giza",Entry Level (Junior Level / Fresh Grad),0 to 1 year,Computer Science | Teaching | Information Technology (IT) | Electronics | Engineering | Network | Networking | Security | Training | CCNA | firewalls | MCSA 2012 | Network Infrastructure | Network Security | Network Engineering,0,1
Senior UX-UI Product Designer,Aptivamena Tech,"Cairo, Egypt",Experienced (Non-Manager),More than 5 years,UI/UX | Information Technology (IT) | UI | UX | Figma | Computer Science | CSS | Design | Development | Engineering | Graphic Design | React,5,5
Junior GIS Technician,Citylogix ME,"Katameya, Cairo",Entry Level (Junior Level / Fresh Grad),0 to 3 years,Arc GIS | GIS | QGIS,0,3
AI Engineer,ITGoals,"New Cairo, Cairo",Experienced (Non-Manager),3 to 7 years,AI | Computer Science | Engineering | Information Technology (IT),3,7
IT Associate,Axios International,"Dokki, Giza",Experienced (Non-Manager),2 to 4 years,Information Technology (IT) | Azure | Administration | Computer Science | Microsoft Office | Software Engineering | Java,2,4
Information Systems Department Manager,"Confidential Company - New Cairo, Cairo","New Cairo, Cairo","Senior Management (CEO, GM, Director, Head)",18 to 20 years,Information Systems | Computer Science | Project Management,18,20
Data Governance Engineer,Etisalat Egypt,"Mohandessin, Giza",Experienced (Non-Manager),3 to 5 years,Computer Engineering | Computer Science | Engineering | Information Technology (IT) | Data Governance (DG) | Data Governance | Data modelling | DWH | Data Modelling Management | Data Warehouse | Cloud & Data Engineering Concepts | Data Privacy & Compliance | ETL | Agile | data quality | SQL | Python | Spark | IBM Tools | data quality tools | catalog tools | Microsoft Azure | Azure DevOps Server | Windows Azure | Azure | SQL Azure | Erwin | PII identification | data classification | Agile Methodologies | regulatory compliance,3,5
Oracle Consultant- HCM,Albawani | البواني,"Cairo, Egypt",Experienced (Non-Manager),4 to 7 years,HCM | ERP | Computer Science | Information Technology (IT) | Oracle | Construction | ERP Implementation | Fusion | HR | Oracle Fusion | Payroll | Recruitment,4,7
Oracle Fusion HCM Technical Consultant,Dautom,"Cairo, Egypt",Experienced (Non-Manager),More than 7 years,Fusion | HCM | Oracle | Oracle technical | Oracle Fusion | Information Technology (IT) | Computer Science | Oracle HCM | SOAP | Cloud | XML,7,7
Enterprise AI Engineer,Specialized Seamless Ser...,"Cairo, Egypt",Experienced (Non-Manager),3 to 7 years,Python | Oracle | AI,3,7
Junior Technical Support Specialist,Information Dynamics,"Nasr City, Cairo",Entry Level (Junior Level / Fresh Grad),0 to 3 years,Computer Science | Technical Support | Information Technology (IT) | Computer Engineering | Engineering | Customer Service | SQL,0,3
ERP Technical Support,TAB ERP Solutions,"New Cairo, Cairo",Experienced (Non-Manager),More than 4 years,Accounting | SQL | Technical Support | Customer | ERP | Customer Service | Analysis | Computer Science | Information Technology (IT),4,4
IT Specialist,OPEX Egypt,"Obour City, Cairo",Entry Level (Junior Level / Fresh Grad),1 to 2 years,Information Technology (IT) | Technical Support | LAN | Maintenance | Network | Network Administration | Security | Computer Science,1,2
ERP Implementer,Erpplus5,"Maadi, Cairo",Experienced (Non-Manager),2 to 5 years,ERP | Implementation | Finance | Accounting | Financial Accounting | Accounting Systems | Business Processes | Information Technology (IT) | Planning | Business Administration | business | Computer Science | Management | Human Resource Management (HRM) | HR | HR Systems | HR Policies | HRMS | HRMIS | HRM | HRIS | HR Admin | HR Specialist,2,5
Senior Data Engineer,Vertex Technologies,"Cairo, Egypt",Experienced (Non-Manager),More than 4 years,"Data Engineering | Python | Scala | Databricks | SQL | Dimensional Modeling | OLTP/OLAP | Cloud Platforms (AWS, Azure, GCP) | AWS | Computer Science | Design | Development | Engineering | Information Technology (IT) | MongoDB | Networking | NoSQL | Software Development",4,4
Mid-Level Software Tester,Expert Apps,"Maadi, Cairo",Experienced (Non-Manager),2 to 3 years,Quality Control | Information Technology (IT) | Software Development | Software Engineering | ISTQB | Agile Software | SQL | Microsoft TFS,2,3
Data Scientist,Spinneys Egypt,"Maadi, Cairo",Entry Level (Junior Level / Fresh Grad),0 to 2 years,Computer Science | Data Science | Information Technology (IT) | Python,0,2
IT Specialist,"Confidential Company - Haram, Giza","Haram, Giza",Experienced (Non-Manager),5 to 7 years,Computer Science | Information Technology (IT) | IT Specialist | Installation | Technical Support | specialist | IT,5,7
QA & Document Control Specialist,NILEWOOD,"Alsadat City, Monufya",Experienced (Non-Manager),3 to 5 years,"Document Control | QA | Quality Assurance | Quality Control | , ISO 9001, Power BI",3,5
Senior BI Analyst,Ibn Sina Pharma,"New Cairo, Cairo",Experienced (Non-Manager),2 to 4 years,Analysis | BI | Business Analysis | Power BI | SQL | Computer Science | Data Visualization | Data Modeling | ETL | Problem Solving | Communication | Stakeholder Management | Reporting | Dashboarding | Data Analysis | Business Intelligence | Information Technology (IT),2,4
Backend Engineer (Node.js / NestJS / TypeScript),tech technology,"Cairo, Egypt",Experienced (Non-Manager),More than 3 years,Node.js | Software Development | Software Engineering | Typescript | Nest | Architecture | AWS | Computer Science | Design | Engineering | Information Technology (IT),3,3
Senior Principal Engineer - Dry Utilities,Atkins Realis,"Nasr City, Cairo",Experienced (Non-Manager),15 to 20 years,Engineering | Design | Electrical Engineering | AutoCAD | Computer Science | Development | Information Technology (IT) | Software Development,15,20
Sales Engineer – Industrial Solutions (Alexandria),Trust Engineering Compan...,"Alexandria, Egypt",Experienced (Non-Manager),2 to 5 years,Sales | Technical Sales | Sales engineer | Customer Support | Engineering Services | Sales skills | Maintenance Engineering | Industria maintenance products | Outdoor Sales | Field Sales | Engineering | English | petrochemical | Sales Target | Science | Software | Customer Service | Mechanical | B2B Sales Industrial Products | Sales Engineer Technical Sales Industrial Sales Mechanical Engineer Electrical Engineer Mechatronics Engineer Maintenance Engineer Industrial Solutions Lubricants Welding MRO Business Development Field Sales Engineering Sales Technical Support Industrial,2,5
Senior Full-Stack Engineer (Django + React + Python + GCP),"Confidential Company - Cairo, Egypt","Cairo, Egypt",Experienced (Non-Manager),More than 5 years,Python | Django | React.js | Google Cloud Platform (GCP) | PostgreSQL | REST APIs | Celery | Redis | Docker | CI/CD | AI Integration | LLM API | Gemini | RAG | Vector Databases | Artificial Intelligence (AI) | React | Software Development,5,5
Data Scientist,MEAHCO - Saudi German He...,"Katameya, Cairo",Experienced (Non-Manager),1 to 4 years,pandas | NumPy | Scikit-learn | SciPy | CNNs | RNNs | LSTMs | Transformers | Autoencoders | PyTorch | MLflow | Information Technology (IT) | Data Science | Computer Science,1,4
Food Production Engineer – Extracts Herbal Tea Powders,Tawakol for Investment a...,"Dar Alsalam, Cairo",Experienced (Non-Manager),1 to 3 years,Food Processing | Quality Assurance | Food Safety | Equipment Operation | Food Production | Food Manufacturing | powder,1,3
Senior Product Owner / Junior Product Manager,3D Diagnostix,"Maadi, Cairo",Experienced (Non-Manager),More than 6 years,Information Technology (IT) | Software Development | Computer Science | Product Management | product owner | Agile | Product | product manager | Product knowledge | Product Development | Development | Engineering | Integration | Kanban | Software | Project Management | Product Ownership | Product Lifecycle Management | Market Research | Stakeholder Management | Agile Methodologies | Strategic Planning | Data Analysis | Cross-functional Collaboration | Healthcare Technology | Communication | Problem Solving | Management | Scrum,6,6
Solutions Architect – e-Invoicing Integrations,Intelleti LLC,"Cairo, Egypt",Experienced (Non-Manager),More than 7 years,Solution Architecture | e-invoice | ERP Integration | API Design | Requirements Analysis | Information Technology (IT) | SQL | Architecture | Computer Engineering | Computer Science | Database | ERP | Oracle | REST | SOAP,7,7
quality assurance,Cairbou Coffee Egypt,"Maadi, Cairo",Entry Level (Junior Level / Fresh Grad),1 to 3 years,Quality Assurance | Quality Control | QA | Food Safety & Hygiene | Auditing & Inspection | Recipe & Standard Compliance | Reporting & Data Analysis | Attention to Detail | Communication & Assertiveness | Training & Coaching,1,3
Infrastructure Engineer,National technology grou...,"6th of October, Giza",Experienced (Non-Manager),More than 3 years,IT Infrastructure Management | Network Administration,3,3
AI Solutions Specialist,روية للحلول المتكاملة,"Alexandria, Egypt",Experienced (Non-Manager),More than 4 years,AI | •	Python | •	TensorFlow | •	NLP | Information Technology (IT) | Sales | Computer Science,4,4
Data analysis Instructor- online,Yat Learning Centers,"Maadi, Cairo",Experienced (Non-Manager),3 to 7 years,Analysis | Data Analysis | BI | SQL | Python | Tableau,3,7
Dynamics AX / D365 Finance & Operations Developer,Allamna Integrated Solut...,"Cairo, Egypt",Entry Level (Junior Level / Fresh Grad),0 to 2 years,Dynamics 365 | SQL Server | D365 Finance and Operation | MS Dynamics AX | X++ programming,0,2
Senior HIS Back Office Support Engineer,"Confidential Company - Heliopolis, Cairo","Heliopolis, Cairo",Experienced (Non-Manager),5 to 7 years,Information Technology (IT) | Computer Science | Database SQL Server | ERP Applications | Application Support,5,7
